model,accuracy,precision,recall,F1,AUC
RF(eng),0.999,1.0,0.9925373134328358,0.9962546816479401,0.9999999999999999
SVM-RBF(eng),0.999,1.0,0.9925373134328358,0.9962546816479401,0.9999913825790218
ENS mean(RF+SVM),0.999,1.0,0.9925373134328358,0.9962546816479401,1.0
ENS mean(RF+SVM+LGBM+CAT),0.999,1.0,0.9925373134328358,0.9962546816479401,1.0
ENS mean(RF+LGBM+CAT),0.999,1.0,0.9925373134328358,0.9962546816479401,1.0
RF-5seed-bag(eng),0.998,1.0,0.9850746268656716,0.9924812030075187,1.0
